FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,LAT,LON
1418860,Little Norway,Bay,AK,2,Aleutians East,13,55.7652778,-160.0513889
1415366,Tonowek Narrows,Channel,AK,2,Prince of Wales-Hyder (CA),198,55.7655556,-133.3241667
1424491,Point Swift Rock,Island,AK,2,Prince of Wales-Hyder (CA),198,55.7666645,-133.3183201
1424853,Rockfish Cove,Bay,AK,2,Ketchikan Gateway,130,55.7666667,-131.6236111
1895847,Neets Bay,Bay,AK,2,Ketchikan Gateway,130,55.7666667,-131.7
1418435,Clark Bay,Bay,AK,2,Aleutians East,13,55.7669444,-160.015
1423274,Lemly Rocks,Bar,AK,2,Wrangell,275,55.7675,-132.2875
1418677,Herendeen Bay,Populated Place,AK,2,Aleutians East,13,55.7680556,-160.6858333
1419903,Gaohi Islands,Island,AK,2,Prince of Wales-Hyder (CA),198,55.7680556,-133.2338889
1418255,Bluff Point,Cape,AK,2,Aleutians East,13,55.7686111,-160.7222222
1418876,Low Point,Cape,AK,2,Aleutians East,13,55.7697222,-160.6997222
1407629,Osterback Creek,Stream,AK,2,Aleutians East,13,55.7705556,-159.6483333
1419599,Winter Harbor,Locale,AK,2,Prince of Wales-Hyder (CA),198,55.7708333,-133.2291667
1419869,Indian Garden Bay,Bay,AK,2,Prince of Wales-Hyder (CA),198,55.7708333,-133.3402778
1421623,East Fork Tonowek Creek,Stream,AK,2,Prince of Wales-Hyder (CA),198,55.7713889,-133.3816667
1423423,Losa Island,Island,AK,2,Prince of Wales-Hyder (CA),198,55.7719444,-133.7580556
1423725,Mink Creek,Stream,AK,2,Prince of Wales-Hyder (CA),198,55.7719444,-133.3980556
1422780,Island Lake,Lake,AK,2,Prince of Wales-Hyder (CA),198,55.7723498,-133.4101121
1421920,Fire Cove,Bay,AK,2,Ketchikan Gateway,130,55.7727778,-131.5438889
1424607,Portage Cove,Bay,AK,2,Ketchikan Gateway,130,55.7727778,-131.0436111
1421288,Crooked Lake,Lake,AK,2,Prince of Wales-Hyder (CA),198,55.7738037,-133.428054
1422639,Hook Lake,Lake,AK,2,Prince of Wales-Hyder (CA),198,55.7741918,-133.4212908
1421049,Chuck Lake,Lake,AK,2,Prince of Wales-Hyder (CA),198,55.7744529,-133.463864
1422830,Jay Lake,Lake,AK,2,Prince of Wales-Hyder (CA),198,55.7757036,-133.406588
1418616,Frying Pan,Bay,AK,2,Aleutians East,13,55.7758333,-160.2519444
1422994,Kauda Point,Cape,AK,2,Prince of Wales-Hyder (CA),198,55.7758333,-133.2583333
1418220,Big Fish Lake,Lake,AK,2,Aleutians East,13,55.7763135,-161.7803744
1422763,Iphigenia Bay,Bay,AK,2,Prince of Wales-Hyder (CA),198,55.7769444,-133.8930556
1420716,Mount Burnett,Summit,AK,2,Wrangell,275,55.7780556,-132.1255556
1420540,Bluff Lake,Lake,AK,2,Ketchikan Gateway,130,55.778461,-131.44429
1423620,McHenry Ledge,Bar,AK,2,Wrangell,275,55.7786111,-132.3025
1419233,Shingle Point,Cape,AK,2,Aleutians East,13,55.7788358,-160.7541206
1423895,Neets Bay,Bay,AK,2,Ketchikan Gateway,130,55.7788889,-131.6013889
1423897,Neets Lake,Lake,AK,2,Ketchikan Gateway,130,55.7792563,-131.4776317
1420702,Bug Island,Island,AK,2,Ketchikan Gateway,130,55.7797222,-131.6544444
1422610,Hofstad Creek,Stream,AK,2,Wrangell,275,55.78,-132.0019444
1421063,Clam Island,Island,AK,2,Ketchikan Gateway,130,55.7805556,-131.6130556
1420862,Cape Lynch,Cape,AK,2,Prince of Wales-Hyder (CA),198,55.7822222,-133.6938889
1415399,Trap Point,Cape,AK,2,Ketchikan Gateway,130,55.7827778,-130.9652778
1895406,Lighthouse Rocks,Island,AK,2,Lake and Peninsula,164,55.7833333,-157.4
1419902,Suhti Island,Island,AK,2,Prince of Wales-Hyder (CA),198,55.7836111,-133.2444444
1419657,Squam Bay,Bay,AK,2,Prince of Wales-Hyder (CA),198,55.7838889,-133.3341667
1422143,Gilbert Lake,Lake,AK,2,Ketchikan Gateway,130,55.7847124,-130.8335766
